Test,N,Backtracking (ns),Recursive (ns),Greedy (ns),Dynamic (ns)
194,20,741191,12704160,10313,99598
195,20,1187022,19677174,14109,123957
196,20,3848273,43694565,10997,96332
197,20,1952439,29793778,11265,119837
198,20,126044,2513477,10001,45469
199,20,1234641,21468349,9983,97705
200,20,313111,5173346,10831,129336
201,21,590851,8764216,10653,55305
202,21,3593829,53459709,11491,115649
203,21,360398,7276236,9182,74131
204,21,1380812,23027094,11395,83286
205,21,769115,14330551,10760,62140
206,21,566769,9607659,8140,69880
207,21,1027723,18504279,10853,72533
208,21,809771,13886954,10243,64566
209,21,161766,3258344,7761,39405
210,21,305144,5963307,9907,67645
211,22,487245,9632889,11417,55077
212,22,1444822,29799008,11838,103219
213,22,2583382,53247288,16146,116991
214,22,1998854,34355253,11507,83603
215,22,3904807,63584144,11677,103028
216,22,391407,8428718,13220,84744
217,22,2255231,25922492,11721,100714
218,22,327832,5792343,10177,53573
219,22,534159,16318776,10958,68530
220,22,4563313,80290440,11863,96781
221,23,670308,12546365,10072,57364
222,23,527441,13374890,10788,56900
223,23,1628134,39470927,16298,149040
224,23,787411,9980749,9859,61569
225,23,244741,6185823,10484,51155
226,23,3770941,73344774,11402,108229
227,23,3394296,60439658,11426,106932
228,23,5455003,110841193,15975,198812
229,23,1003180,16472570,11391,81016
230,23,2782931,57505090,12190,107103
231,24,648582,15242925,11171,65290
232,24,257683,5975275,7718,48422
233,24,101200,2496586,7587,36522
234,24,2757144,55475692,11378,119300
235,24,11760082,221820043,12047,99527
236,24,642490,13005825,9423,66437
237,24,62717,1773252,7251,34927
238,24,1969893,42294647,11203,101341
239,24,826291,14742623,11255,65324
240,24,1776168,38586001,11754,76934
241,25,215421,5340952,7816,40927
242,25,1877008,43791920,12318,96233
243,25,1283506,38698486,12577,86473
244,25,74953,1851892,7777,36837
245,25,3922704,69158098,11658,111022
246,25,1396062,30641990,11083,74145
247,25,8026019,129246114,11830,123925
248,25,3031615,67092182,12863,122761
249,25,153344,3985506,12480,43835
250,25,2712028,65191472,11522,111435
